Protein_CD8,Intensity_CD8,Protein_CD4,Intensity_CD4,Protein_Platelet,Intensity_Platelet,Protein_NK,Intensity_NK,Protein_Monocyte,Intensity_Monocyte,Protein_Erythrocyte,Intensity_Erythrocyte,Protein_B cell,Intensity_B cell,Protein_Macrophage,Intensity_Macrophage,Protein_DC,Intensity_DC,Protein_Basophil,Intensity_Basophil,Protein_Eosinophil,Intensity_Eosinophil,Protein_Neutrophil,Intensity_Neutrophil
O43670,0.197573401,O94903,0.003954312,Q9H223,0.083658097,O75348,0.00376468,P08519,0.009833861,,,O60765,0.00000378,A0A087WZQ5,0.644603987,Q7Z7N9,0.00000448,Q8NFC6,0.00000159,Q7L2E3,0.0000014,Q8N5N7,0.000000945
O43674,0.231731521,O94906,0.001794807,O94919,0.038940647,O75351,0.00378825,P08567,0.009213157,,,O60783,0.000515312,H0Y6Y6,0.644717403,Q6NUI2,0.00000449,Q13112,0.00000159,P30042,0.0000014,Q9Y2W6,0.000000946
O43676,0.233027975,O94913,0.00021011,Q9Y6G9,0.083145585,O75352,0.002613107,P08571,0.042296219,,,O60784,0.001772541,Q9Y4I1-2,0.644857889,Q9BYC9,0.00000449,Q9NQ88,0.00000159,Q6S8J3,0.0000014,Q04637-3,0.000000947
O43677,0.207932157,O94915,0.001486054,Q9P0L0,0.088412307,O75356,0.0000215,P08574,0.00552578,,,O60811,0.00000248,Q15751,0.644992063,Q96BT3,0.00000449,P02743,0.00000159,Q8N302,0.0000014,Q14566,0.000000948
O43678,0.183835028,O94919,4.85E-05,A1L0T0,0.111454776,O75362,0.00000274,P08575,0.024510939,,,O60814,0.047455558,A0A1B0GV05,0.645037985,P35612,0.0000045,Q96BY7,0.0000016,Q96EK4,0.0000014,P22626,0.000000951
O43679,0.000149157,O94921,3.13E-05,P63096,0.101847761,O75367,0.020631276,P08579,0.000423226,,,O60825,0.000606943,Q14164,0.645042386,Q6UWJ1,0.00000453,Q9NPE3,0.0000016,P15924,0.0000014,P55199,0.000000952
O43681,0.249386815,O94925,0.00268445,Q53GQ0,0.119964958,O75368,0.013120166,P08581,0.000330664,,,O60826,0.001316602,Q92667,0.6450588,Q96R05,0.00000454,Q12979-2,0.00000161,Q32M88,0.00000141,Q9NU53,0.000000952
O43683,0.207421377,O94927,6.25E-05,J3KNQ3,0.168433662,O75369,0.00112525,P08603,0.015605847,,,O60828,0.002308803,Q96L91-4,0.64509281,Q8NFF5,0.00000455,Q9H116,0.00000161,Q9UGN5,0.00000141,Q92597,0.000000952
O43684,0.263956244,O94929,2.48E-05,P54920,0.189190639,O75373,0.00000202,P08621,0.004625638,,,O60830,0.000558809,Q13825,0.645110289,O43791,0.00000455,Q969E8,0.00000161,Q8WWC4,0.00000141,Q13625,0.000000956
O43699,0.000243108,O94952,8.80E-05,P84077,0.296104268,O75376,0.000419623,P08648,0.00218204,,,O60831,0.000919412,Q6N075-2,0.645162065,Q6NXR4,0.00000455,P09086,0.00000161,Q99611,0.00000141,P78556-2,0.000000958
O43704,0.219800288,O94955,1.71E-05,P98082,0.075179232,O75379,0.000501482,P08670,0.271152819,,,O60832,0.007748056,R4GMU7,0.645197263,Q9BRR9-2,0.00000456,Q8N8K9-2,0.00000161,Q5T200-2,0.00000141,P61073,0.000000959
O43707,0.274720082,O94964,1.99E-05,O43776,0.100951547,O75380,0.003529729,P08697,0.00830465,,,O60841,0.002970762,A0A1X7SBY3,0.645218159,Q9UKT8,0.00000456,Q06787-6,0.00000162,Q9BRX8-2,0.00000142,Q15208,0.000000959
O43719,0.187282168,O94966,0.000926986,Q7Z794,0.645701107,O75381,0.000460132,P08709,0.000432355,,,O60858,0.000112416,Q8WU67,0.645294013,O75063,0.00000456,P62166,0.00000162,H7C144,0.00000142,Q04721,0.000000961
O43734,0.003637566,O94967,7.34E-05,Q15750,0.054547405,O75385,0.0000344,P08727,0.00036965,,,O60869,0.008007347,P32856-3,0.645476724,M0QXA7,0.00000457,O43149-3,0.00000162,Q6NZY4,0.00000142,P26639,0.000000961
O43739,0.000507362,O94973,0.003453772,P48444,0.230793986,O75386,0.00000538,P08729,0.000904097,,,O60870,0.000307676,P46100-4,0.64554289,Q8N699,0.00000458,Q6ZVX7,0.00000163,Q9BVM4,0.00000142,Q13546,0.000000961
O43741,0.000358968,O94979,0.004501411,P28161,0.048586061,O75390,0.009881356,P08754,0.009176545,,,O60879,0.001159686,P15907,0.645649407,O75594,0.00000459,Q6ZT21,0.00000163,O43175,0.00000142,O15211,0.000000964
O43747,0.249646773,O94986,1.77E-06,P49418,0.02889171,O75391,0.000773261,P08758,0.015069177,,,O60880,0.00016456,Q9NW82,0.645664828,Q9UQN3,0.00000459,Q9BU76,0.00000163,Q9NSI2,0.00000142,O60264,0.000000966
O43752,0.15601948,O94992,0.002421053,O43237,0.137521678,O75394,0.001316091,P08779,0.001224537,,,O60884,0.003312682,E9PQL0,0.645683347,Q9NR09,0.00000461,O95866,0.00000163,Q96B49,0.00000143,Q96JB5,0.000000967
O43759,0.00060471,O94993,8.28E-05,P36575,0.005721131,O75396,0.008816398,P08865,0.007102224,,,O60885,0.002287017,A6NC98,0.645691694,Q4AE62,0.00000462,P01765,0.00000163,Q6ICH7,0.00000143,Q00610,0.000000968
O43760,0.338850423,O95071,0.000190132,Q5T5C0,0.015628281,O75410,0.000559616,P08962,0.015433824,,,O60888,0.003559167,Q8IWU5-2,0.645747887,Q9UK41,0.00000463,Q9UDY8-2,0.00000163,Q8N131,0.00000143,O00443,0.000000972
O43761,0.000162388,O95073,6.10E-06,Q6DD88,0.074370274,O75419,0.0000664,P09012,0.000194812,,,O60890,0.0000243,Q9UQ49,0.64577555,P58546,0.00000464,Q7L8W6,0.00000163,Q8WUD1,0.00000143,Q9UNK4,0.000000975
O43765,0.18110424,O95081,0.00072114,O00459,0.019297023,O75420,0.0000902,P09104,0.012690147,,,O60906,0.00033757,Q8NE62,0.645781335,Q9NVU7,0.00000464,Q9NR30,0.00000163,Q9Y508,0.00000143,Q9Y305,0.000000975
O43768,0.24789296,O95104,0.001008669,O43747,0.151091484,O75427,0.001621189,P09110,0.006179904,,,O60921,0.000716984,Q9BYB4,0.645799818,Q9Y5X2,0.00000464,P20963-3,0.00000163,Q969Q5,0.00000143,P40189,0.000000976
O43772,0.183601976,O95139,0.002766305,Q15008,0.089920993,O75431,0.001136098,P09172,0.000163653,,,O60925,0.000969539,Q9UPN4-2,0.645863613,A0A087WZQ7,0.00000465,A8MTL9,0.00000163,O75496,0.00000143,O00716,0.000000977
O43776,0.196417044,O95140,0.000468377,Q9Y6M1,0.127062736,O75436,0.001444196,P09211,0.051148044,,,O60927,0.001337627,Q32MZ4-4,0.645897592,Q9UMR7,0.00000465,Q8TED0,0.00000164,Q9BRZ2,0.00000143,P60602,0.000000978
O43781,1.22E-06,O95154,0.00101854,Q9Y5B6,0.059839451,O75438,0.000716013,P09234,0.007983983,,,O60930,0.000233631,Q9P0V3,0.645917389,A8K7Q2,0.00000465,Q8TF01,0.00000164,P55160,0.00000144,P11172,0.000000981
O43790,0.309672422,O95155,0.00033904,P02724,0.006302295,O75439,0.000562062,P09238,0.000656138,,,O60934,0.0013457,Q969G6,0.645927051,Q96N11,0.00000466,P21709,0.00000164,P68400,0.00000144,Q92918-2,0.000000981
O43791,8.15E-06,O95159,0.000210372,P49753,0.086710886,O75445,0.00000469,P09382,0.095254444,,,O60942,0.000213862,Q9BSJ8-2,0.645945348,Q15052,0.00000467,P62987,0.00000164,P04350,0.00000144,P29279,0.000000981
O43795,0.197791279,O95163,0.000858278,Q96EP0,0.022906551,O75448,0.0000699,P09417,0.002562003,,,O75019,0.000309377,J3KTA1,0.645946059,Q53F23,0.00000468,Q15269,0.00000165,P07954-2,0.00000145,Q15776,0.000000982
O43805,0.221929637,O95164,0.00070007,P55795,0.170268065,O75449,0.0000756,P09429,0.031550467,,,O75022,0.000709545,Q9NRW4,0.645966085,O43586,0.00000468,Q9UI30,0.00000165,Q13510,0.00000145,Q9Y608-4,0.000000982
O43809,0.264148132,O95167,0.004605452,Q01546,0.468399692,O75469,0.0000492,P09467,0.005737439,,,O75023,0.000310521,Q7KZN9,0.646107266,A8MPS7,0.00000469,Q9NX76,0.00000165,O94808,0.00000145,Q99643,0.000000984
O43813,0.371412368,O95168,0.004193355,Q99733,0.233189709,O75475,0.013160906,P09471,0.004425116,,,O75027,0.002079042,Q12872-2,0.646147737,Q9UK59,0.00000469,Q13363-2,0.00000165,Q86T24,0.00000146,Q15181,0.000000984
O43815,0.186981264,O95169,0.005336207,Q9UQ80,0.298821805,O75477,0.000289383,P09486,0.000505306,,,O75030,0.000431067,H3BSZ7,0.646212336,Q6MZP7,0.00000471,Q92804,0.00000165,Q96JK2,0.00000146,P02452,0.000000988
O43818,0.181830749,O95182,0.00283207,Q9NUQ9,0.080731006,O75487,0.0000158,P09488,0.003502797,,,O75037,0.0000337,Q96P16,0.646232836,Q9NUL7,0.00000472,Q969M7,0.00000165,Q99584,0.00000146,Q5EBL8,0.000000988
O43819,0.152900864,O95183,0.000703256,P02100,0.244578335,O75489,0.003679823,P09493,0.017509728,,,O75044,0.000270472,C9JCN8,0.646234633,Q16795,0.00000474,Q14142,0.00000165,P02652,0.00000146,P33908,0.000000989
O43822,0.000131706,O95197,0.000190107,Q92995,0.032222104,O75494,0.007151042,P09496,0.033455406,,,O75052,0.0000197,Q6UWP7-3,0.64637553,P14621,0.00000474,P06280,0.00000166,Q96H55,0.00000146,Q53TQ3,0.00000099
O43823,0.232317637,O95202,0.001817159,Q16134,0.06606118,O75521,0.000631028,P09497,0.010910201,,,O75063,0.000128585,Q96QU8-2,0.646388636,Q76NI1,0.00000474,Q5SWX3,0.00000166,Q155Q3,0.00000147,D6RB81,0.000000993
O43824,0.221463009,O95214,0.000332265,Q9Y5X3,0.123987628,O75525,0.000770581,P09525,0.006726506,,,O75064,0.000422303,P53367-2,0.646420521,Q9NWT6,0.00000475,P16949,0.00000167,Q15366,0.00000147,Q96TA1,0.000000993
O43829,0.203667564,O95218,0.00530251,Q15717,0.213398173,O75526,0.001430533,P09543,0.002374784,,,O75069,0.0000162,B1AKV3,0.646437493,Q9Y5K5-2,0.00000476,Q15813,0.00000167,P30466,0.00000147,P36955,0.000000993
O43837,0.248619922,O95219,7.21E-05,Q13884,0.059088552,O75528,0.0000703,P09601,0.002264138,,,O75078,0.00000511,Q9UNY4,0.646476728,P07225,0.00000476,Q9UBG3,0.00000168,P51553,0.00000147,Q99447,0.000000994
O43847,0.240908669,O95232,0.006065461,P62195,0.112860821,O75529,0.000324511,P09622,0.008671962,,,O75081,0.0000398,Q7L775,0.646571893,P02747,0.00000476,O75298,0.00000168,Q8WTS1,0.00000148,Q9BPZ7,0.000001
O43852,0.229474163,O95236,0.001702821,P24539,0.171043928,O75531,0.017864797,P09651,0.021934844,,,O75083,0.024774372,Q96EK9,0.64658267,O75362,0.00000476,A0A075B6I0,0.00000168,O00154,0.00000148,Q9NR61,0.000001
O43861,2.62E-05,O95248,0.000792826,Q9HDC9,0.16771852,O75533,0.012779431,P09661,0.004057974,,,O75093,0.0000245,Q9GIY3,0.646606223,Q9UNE7,0.00000477,Q3MII6,0.00000168,Q99873-4,0.00000148,Q14149,0.000001
O43865,0.243331126,O95249,0.000453956,P62191,0.224196807,O75534,0.000830135,P09668,0.005073625,,,O75094,0.00000378,H0YAE9,0.646716359,Q9Y5W7,0.00000477,F5H100,0.00000168,O60344-4,0.00000148,Q9BXX0,0.000001
O43866,0.219444941,O95251,0.00100434,Q02818,0.14492339,O75558,0.000944729,P09669,0.009386464,,,O75113,0.000155215,Q5BJH2,0.646721567,E9PD09,0.00000478,Q9UMZ2,0.00000169,O60869,0.00000148,Q13790,0.00000101
O43868,5.46E-05,O95260,0.00105724,Q6PL18,0.084672733,O75563,0.002449073,P09769,0.006742052,,,O75116,0.000501347,P02777,0.64672529,Q7L775,0.00000478,K7ENL9,0.00000169,Q6GMV2,0.00000148,P01598,0.00000101
O43896,1.17E-05,O95264,9.42E-06,Q9HAV0,0.202814081,O75564,0.00000362,P09848,0.0000204,,,O75121,0.00000896,Q969M1-2,0.646753705,Q9UHP9,0.00000478,B7ZM87,0.00000169,Q9UBD3,0.00000149,P29692-3,0.00000101
O43897,3.05E-07,O95267,5.00E-05,O75822,0.142205853,O75569,0.000719364,P09871,0.004653563,,,O75122,0.000995651,A0A0C4DFZ9,0.646771638,O43175,0.00000478,Q6FI81,0.00000169,P50570,0.00000149,Q96HW7,0.00000101
O43913,0.222271984,O95274,2.82E-06,G5E977,0.096025602,O75578,0.00000462,P09874,0.00297043,,,O75131,0.003303845,Q70CQ2,0.646826626,Q96MF7,0.00000478,P33316,0.0000017,Q92688,0.00000149,O43390,0.00000101
O43914,0.002059222,O95292,0.001388795,Q15046,0.220281408,O75582,0.000680433,P09914,0.000798811,,,O75143,0.000212272,P48382-2,0.646926605,Q04724,0.00000481,P30154,0.0000017,Q7Z591,0.00000149,Q9H8V3,0.00000101
O43916,2.78E-06,O95294,1.78E-05,Q9H115,0.072354424,O75592,0.000191588,P09917,0.004081975,,,O75145,0.0000843,H3BUY0,0.646928899,A0A067XG54,0.00000483,K7ENF0,0.0000017,O75324,0.00000149,Q9C005,0.00000101
O43918,6.29E-06,O95295,0.001303314,Q96T76,0.057274092,O75600,0.000682388,P09960,0.073128862,,,O75146,0.003729974,P52630-4,0.646950261,Q96JT2,0.00000484,P07919,0.00000171,Q9HCU9,0.00000149,P52657,0.00000102
O43920,0.237946235,O95298,0.00141155,Q9ULA0,0.107110293,O75607,0.000212603,P09972,0.013126073,,,O75150,0.001272588,Q8TEA7-3,0.646950658,Q3V6T2,0.00000485,Q13884,0.00000171,Q9UHX3,0.00000149,Q14C86,0.00000102
O43924,0.214745129,O95299,0.004686813,P12081,0.080621555,O75608,0.003869927,P0C0L4,0.009078344,,,O75151,0.000186146,Q9NU19,0.646977921,P26639,0.00000486,A0A087WUD1,0.00000171,Q02742,0.00000149,P61165,0.00000102
O43929,0.221595609,O95336,0.011429683,Q8IZ83,0.052554143,O75616,0.000213827,P0C0L5,0.009632286,,,O75153,0.000148658,P17661,0.64700567,Q9NUP7,0.00000487,P61952,0.00000171,P12532,0.0000015,Q9NVI1,0.00000102
O43933,0.205612683,O95347,0.000189144,Q9H361,0.291241307,O75618,0.0000504,P0C0S5,0.00520939,,,O75154,0.0000132,A0A1B0GUA8,0.647028739,Q4FZB7,0.00000488,Q9H4P4,0.00000171,Q9H8U3,0.0000015,Q9NVQ4,0.00000102
O60216,0.253552946,O95352,0.00017415,P49721,0.170883021,O75626,0.0000298,P0C0S8,0.005169489,,,O75155,0.00018449,O95071-2,0.647055747,Q92831,0.00000488,Q155Q3,0.00000172,Q14320,0.0000015,H0Y337,0.00000102
O60218,5.34E-05,O95359,2.04E-05,Q9NPH2,0.065417553,O75628,0.000220493,P0CG08,0.0002636,,,O75157,0.000186184,Q9UGK3,0.647078772,Q96E22,0.00000489,P27449,0.00000172,Q9HB20,0.0000015,Q92536,0.00000102
O60220,0.180405632,O95363,6.21E-05,P25789,0.196038117,O75629,0.000475417,P0CG38,0.012054627,,,O75161,0.00000301,Q8TAD4,0.647089998,Q15637-5,0.0000049,P23246,0.00000172,P28072,0.0000015,Q6PJG6,0.00000102
O60229,3.84E-05,O95365,0.000207971,P23396,0.19187048,O75643,0.003647931,P0CG39,0.010719463,,,O75164,0.0000066,O60941,0.647108585,A0A0A0MT72,0.00000491,Q9HAB3,0.00000172,Q6DRA6,0.0000015,P10644,0.00000103
O60231,0.229891613,O95372,0.008874805,P06703,0.157188064,O75663,0.002253081,P0CG41,0.0000462,,,O75165,0.001002547,A0A2R8YEM9,0.64717743,Q96AD5,0.00000491,Q9BUK0,0.00000172,Q9BUW7,0.0000015,Q8N5M4,0.00000103
O60234,0.210400773,O95373,0.001960677,P12955,0.067465124,O75665,0.0000992,P0CG47,0.019150072,,,O75167,0.000518807,Q9H4Z3,0.647204053,P10316,0.00000491,Q70UQ0,0.00000172,Q8NAP3,0.0000015,P42126,0.00000103
O60237,3.06E-05,O95376,0.000293165,P02775,0.055798902,O75674,0.0000672,P0CG48,0.006256199,,,O75170,0.002452888,A0A087WZK6,0.647240291,Q08AM6,0.00000491,P08493,0.00000172,Q9NU22,0.0000015,Q9Y263,0.00000103
O60239,0.000487292,O95379,0.00644126,P52565,0.11795853,O75676,0.000627554,P0DJD1,0.000109483,,,O75173,0.000017,G3V179,0.647481843,Q9NZT2,0.00000491,Q8N292,0.00000172,Q13309,0.0000015,Q14146,0.00000103
O60241,3.66E-06,O95391,0.000334035,P35626,0.020951791,O75683,0.00034789,P0DJI8,0.000639762,,,O75175,0.001889939,Q9H0S4,0.647487774,Q9BTZ2,0.00000492,Q14353,0.00000173,Q9Y2D2,0.0000015,O43592,0.00000103
O60242,7.25E-06,O95394,7.26E-05,P50225,0.034712118,O75688,0.000866714,P0DME0,0.005874723,,,O75179,0.0000679,B1AL69,0.647528715,Q9H9S4,0.00000492,Q92905,0.00000173,Q14558-2,0.0000015,P29372,0.00000103
O60244,0.221109453,O95396,0.000547078,P26447,0.052486818,O75689,0.001350219,P0DMM9,0.008278019,,,O75182,0.000319295,O75865,0.647557509,Q8IV48,0.00000492,Q9UFW8,0.00000173,Q8NA72,0.00000151,O43715,0.00000103
O60256,0.255897553,O95400,0.002017698,Q9UL46,0.214363614,O75691,0.000371676,P0DMN0,0.008278019,,,O75190,0.000895187,Q7Z7L1,0.647559839,P49069,0.00000492,Q9BVW5,0.00000173,P13591-1,0.00000151,O14639-6,0.00000103
O60260,2.17E-06,O95409,0.000499733,Q8IZL9,0.051078969,O75694,0.001383988,P0DMR1,0.003276875,,,O75208,0.001422273,A8MVU1,0.647614542,D3DSM0,0.00000493,P43234,0.00000173,Q96HD1,0.00000151,P51151,0.00000104
O60262,0.199597528,O95425,0.000606546,Q7Z4I7,0.058427047,O75695,0.001284992,P0DMV1,0.000411994,,,O75223,0.002008664,Q8N3X1,0.647644541,O43820-2,0.00000493,P01612,0.00000174,P19404,0.00000151,Q15334,0.00000104
O60264,0.193931952,O95429,0.000328955,Q5H9R7,0.137271378,O75716,0.0000217,P0DMV2,0.000411994,,,O75251,0.001998552,Q5H9U9,0.647652895,Q9UHB6-4,0.00000494,Q14684,0.00000174,P47914,0.00000151,O75369,0.00000104
O60266,9.96E-06,O95433,0.00461461,Q13177,0.095451602,O75746,0.003406577,P0DMV8,0.011749447,,,O75306,0.003276528,A0A075B6E9,0.647701202,O75582,0.00000495,Q8IUC0,0.00000174,O95159,0.00000151,Q9NSP4,0.00000104
O60268,0.183789272,O95453,0.00084955,Q9NTJ5,0.0581337,O75747,0.00000732,P0DMV9,0.005984601,,,O75312,0.000786199,Q9NQL2,0.647703978,Q6Y7W6,0.00000495,Q86UB9,0.00000174,Q9Y4K3,0.00000151,P27448-6,0.00000104
O60271,0.001453422,O95456,0.000876193,P49257,0.07611637,O75791,0.003765277,P0DN26,0.008010986,,,O75317,0.000069,Q9BW85,0.64775321,P63244,0.00000496,Q92466,0.00000175,Q14194,0.00000152,H0YLM8,0.00000104
O60281,2.43E-05,O95466,0.013466087,Q96P70,0.154756584,O75792,0.000863184,P0DN37,0.004005493,,,O75319,0.000137434,Q5W125,0.647772211,P49840,0.00000496,Q9BY89,0.00000175,Q969P0,0.00000152,Q14526-2,0.00000104
O60282,0.000272101,O95470,0.000518893,Q6VY07,0.03852989,O75795,0.00000607,P0DP23,0.025597009,,,O75323,0.00390561,Q96PZ0,0.647814913,Q9UFF9,0.00000496,O95630,0.00000176,F6WQW2,0.00000152,Q16520,0.00000105
O60287,0.23649791,O95478,0.000213286,Q6IBS0,0.078676504,O75817,0.00073099,P0DP24,0.025597009,,,O75330,0.0000173,Q13049,0.647830206,P53609,0.00000498,Q8NDV7,0.00000176,P41236,0.00000153,P53582,0.00000105
O60292,0.185465068,O95479,0.000871232,Q9H9G7,0.030159888,O75820,0.0000021,P0DP25,0.025597009,,,O75339,0.00000168,P60484,0.647861541,G3V5P5,0.00000498,Q9HA65,0.00000176,Q8N8D1,0.00000153,K7EMS3,0.00000105
O60293,0.209325775,O95486,0.000737063,P30044,0.124883765,O75821,0.003555783,P0DPH7,0.023880369,,,O75340,0.005498374,Q9BSL1,0.647892671,Q01658,0.00000499,P21810,0.00000176,Q9NWB6,0.00000153,Q53HL2,0.00000105
O60299,9.92E-07,O95487,0.001318922,Q9Y281,0.322653889,O75822,0.00129376,P0DPH8,0.023880369,,,O75346,0.00000149,I3L4I0,0.647968222,P11117,0.00000499,P01605,0.00000176,Q9BX69,0.00000153,P49023-4,0.00000105
O60306,0.248450599,O95502,3.85E-05,Q9NRY5,0.031378258,O75828,0.000772487,P0DPI2,0.002304112,,,O75347,0.006294775,A0A2R8YCV2,0.648072169,P06733,0.00000499,Q14457,0.00000176,P61978-3,0.00000153,Q8WUU5,0.00000105
O60307,0.219480473,O95503,5.67E-05,Q8TDZ2,0.067956305,O75832,0.003544554,P10114,0.00068397,,,O75348,0.004721874,Q9UKN8,0.648089925,P22695,0.00000499,Q9Y6W6,0.00000176,Q9Y2Q9,0.00000153,Q9H773,0.00000105
O60308,1.52E-05,O95522,3.89E-05,Q5SRQ6,0.113939892,O75843,0.000991836,P10124,0.002071412,,,O75351,0.004949163,P21359-2,0.648170445,C9K0J5,0.000005,A0A0A6YYJ7,0.00000176,Q08752,0.00000153,Q6NUN9-2,0.00000105
O60312,2.27E-05,O95551,0.000205277,O43150,0.048361432,O75844,0.001348313,P10153,0.115587091,,,O75352,0.00123322,A0A2R8Y4W2,0.648208319,Q12906,0.00000501,P20132,0.00000177,Q5JPH6,0.00000154,O15156,0.00000105
O60313,0.004615854,O95563,0.002265195,P33527,0.077861012,O75865,0.00013525,P10155,0.000905136,,,O75362,0.000118615,H0Y9S9,0.648218958,A0A0A0MQS8,0.00000502,P62899,0.00000177,P58317,0.00000154,O00483,0.00000105
O60315,0.000138707,O95571,0.004979375,Q8N4C8,0.076806179,O75874,0.002796389,P10176,0.003395408,,,O75366,0.0000439,Q16643,0.648259161,P30566,0.00000502,O60880-4,0.00000177,O95197,0.00000154,P18615,0.00000106
O60318,0.157341776,O95573,0.000885839,H0Y2S9,0.041273919,O75880,0.003414955,P10242,0.002540627,,,O75367,0.032710663,P08047-3,0.648268218,Q9NQC3-5,0.00000502,P22061,0.00000177,Q96A72,0.00000154,Q5VTR2,0.00000107
O60330,3.09E-06,O95602,0.000344741,P51649,0.080006436,O75884,0.002387936,P10253,0.007796796,,,O75368,0.010213414,Q96DG6,0.648296482,Q8NF64,0.00000504,Q92954-3,0.00000177,Q8WXX5,0.00000154,Q16531,0.00000107
O60331,0.191298095,O95613,0.000140219,O43182,0.016412494,O75886,0.000205555,P10301,0.001267188,,,O75369,0.000927923,P30260,0.648337401,Q15650,0.00000507,Q9NZS2,0.00000177,P02675,0.00000154,Q86VN1,0.00000107
O60333,0.000102235,O95619,0.000380466,P16152,0.209786709,O75891,0.0000334,P10321,0.01247425,,,O75376,0.000423601,Q9Y2R4,0.648351438,Q01081,0.00000508,P13686,0.00000179,Q9HCG1,0.00000155,Q8NDZ4,0.00000107
O60336,0.001909821,O95625,0.00013304,Q8NBJ5,0.067444791,O75907,0.000240965,P10412,0.009138265,,,O75379,0.000558493,Q9NUG6,0.648364234,Q8IVS2,0.0000051,P46778,0.00000179,M0R248,0.00000156,P17693,0.00000107
O60341,0.239536563,O95626,0.000476844,Q96CV9,0.038574594,O75909,0.001535501,P10515,0.00191957,,,O75380,0.002860427,M0QXZ5,0.648372122,Q9NZJ9-2,0.0000051,Q9H5V9,0.00000179,P61081,0.00000156,Q9H0M0,0.00000107
O60343,0.212063032,O95630,0.000960282,Q00722,0.021382726,O75911,0.002364128,P10599,0.016174943,,,O75381,0.001641781,A0A0A6YYC0,0.648472344,O15391,0.00000511,P19338,0.00000179,Q96BZ9,0.00000156,Q9H8T0,0.00000107
O60346,2.10E-06,O95639,0.000603255,Q8N1K5,0.015572202,O75912,0.0000458,P10606,0.008910802,,,O75385,0.0000384,Q5T6K7,0.648504811,Q9NZD2,0.00000511,Q96T76,0.0000018,P69905,0.00000156,Q8NDX1,0.00000107
O60381,0.00024364,O95644,0.000353442,P09488,0.085173332,O75914,0.000942245,P10620,0.013779301,,,O75390,0.013864552,O75446,0.648516822,Q8TA86,0.00000511,Q9BXW7,0.0000018,Q9BQ61,0.00000156,Q09666,0.00000107
O60391,4.23E-06,O95671,0.001716872,P30040,0.211127599,O75915,0.054325016,P10643,0.003820599,,,O75391,0.001275804,A0A0G2JMZ8,0.648527482,O95166,0.00000511,P29558,0.0000018,Q9UBF2,0.00000157,O94973-2,0.00000107
O60437,2.06E-06,O95674,0.002268579,Q16512,0.042283522,O75923,0.0000504,P10644,0.003791663,,,O75394,0.000487192,K7EKZ0,0.648576826,Q6BDS2,0.00000512,Q13555-9,0.00000181,P08123,0.00000157,P22105,0.00000107
O60447,0.00025755,O95678,0.000667582,P61604,0.129342261,O75925,0.0000266,P10720,0.000557649,,,O75396,0.009176918,Q9NQT5,0.648683016,Q9NXF1,0.00000514,Q96H78,0.00000181,O15111,0.00000157,Q9UPQ8,0.00000107
O60449,0.220218016,O95684,0.000349553,P04080,0.188368226,O75928,0.0000431,P10768,0.005465807,,,O75398,0.000122664,Q7L211,0.648690181,Q5VYY1,0.00000515,Q5TA31,0.00000182,O60783,0.00000157,Q8IYT2,0.00000108
O60462,1.34E-06,O95685,0.000244689,P62136,0.143735814,O75934,0.002458595,P10809,0.019860832,,,O75410,0.000838237,J3QTB2,0.648714903,Q9P0S9,0.00000515,P31939,0.00000182,P48060,0.00000157,Q9Y5Y5,0.00000108
O60469,8.39E-07,O95696,0.000104721,Q9Y285,0.159387124,O75935,0.001031976,P10909,0.011611325,,,O75420,0.000234469,P20160,0.648816361,P14902,0.00000515,Q14574-2,0.00000182,Q99504,0.00000158,P25774,0.00000108
O60476,0.17220021,O95707,0.000196328,Q13098,0.060235084,O75937,0.016254437,P10915,0.000290303,,,O75427,0.003837317,Q9GZX9,0.648825858,Q9NP73,0.00000515,Q8NB15-2,0.00000182,P20132,0.00000158,Q9BY41,0.00000108
O60478,7.75E-05,O95714,2.70E-05,Q99661,0.038279243,O75940,0.004630418,P11021,0.020619132,,,O75431,0.001450024,K7EIN2,0.648888427,Q9UFW8,0.00000516,Q5T1V6,0.00000182,P50990,0.00000158,Q86Y82,0.00000108
O60486,0.010674739,O95716,0.000138793,O00499,0.092968373,O75943,0.000259358,P11049,0.000164269,,,O75436,0.004325052,P16035,0.648946404,Q9HAS3,0.00000516,Q13443,0.00000182,Q9HAZ1,0.00000158,Q8WWW0-2,0.00000108
O60488,0.245085117,O95721,0.001411945,Q16836,0.181592262,O75947,0.011362041,P11117,0.001639314,,,O75438,0.001104194,P49916-3,0.648953897,Q14103-4,0.00000516,Q06203,0.00000183,P35251,0.00000159,O60684,0.00000108
O60493,0.183643268,O95741,6.77E-05,O95140,0.05935673,O75949,0.00000774,P11142,0.019049792,,,O75439,0.00099704,J3KPD3,0.648968078,Q5VXI4,0.00000516,P55039,0.00000183,P48449,0.00000159,P32320,0.00000108
O60494,1.14E-07,O95747,0.003132418,Q02978,0.173868736,O75955,0.003145881,P11166,0.00110992,,,O75448,0.000263059,Q8NB90,0.648986788,P07195,0.00000518,Q8IXK0,0.00000183,A0A087X2I3,0.00000159,B7ZL14,0.00000109
O60496,0.171869279,O95749,0.000431744,Q32P28,0.100852806,O75962,0.000280468,P11169,0.010278906,,,O75449,0.000248799,Q9Y383,0.649002734,Q8ND71,0.00000518,O95772-2,0.00000184,Q04828,0.00000159,Q969S9,0.00000109
