Protein_CD8,Intensity_CD8,Protein_CD4,Intensity_CD4,Protein_Platelet,Intensity_Platelet,Protein_NK,Intensity_NK,Protein_Monocyte,Intensity_Monocyte,Protein_Erythrocyte,Intensity_Erythrocyte,Protein_B cell,Intensity_B cell,Protein_Macrophage,Intensity_Macrophage,Protein_DC,Intensity_DC,Protein_Basophil,Intensity_Basophil,Protein_Eosinophil,Intensity_Eosinophil,Protein_Neutrophil,Intensity_Neutrophil
Q6DT37,0.315799929,Q96HC4,0.000380047,Q95365,0.00012517,Q8N584,0.000313209,Q9NXW2,0.00000204,,,Q8IWV8,0.000279725,P49458,0.796212366,P49773,0.000175553,Q14012,0.0000609,P22413,0.0000599,A0A0C4DH25,0.000036
Q6E0U4,4.35E-06,Q96HE7,0.008780753,Q96AG3,0.00012558,Q8N587,0.0000218,O95086,0.00000205,,,Q8IWW6,0.000083,Q8N1G4,0.796252683,Q13464,0.000175554,P54105,0.000061,Q93015-2,0.0000599,Q9UL03,0.0000361
Q6EEV6,0.003193539,Q96HN2,0.001070161,Q96B77,0.000125667,Q8N5A5,0.000354815,O00571,0.00000206,,,Q8IWX8,0.002550728,Q13155,0.796257622,P23497-4,0.000175613,Q8NF91-4,0.0000611,Q9Y2L5,0.00006,Q9UHY8,0.0000361
Q6EKJ0,5.61E-05,Q96HP0,3.89E-05,A0A542,0.000125958,Q8N5C6,0.004176572,Q13478,0.00000206,,,Q8IWY9,0.0000366,Q9Y6Y8,0.796480225,P50570-4,0.000175622,Q96ST2,0.0000612,O60239,0.00006,P78357,0.0000362
Q6EMK4,1.07E-05,Q96HQ2,0.000165701,Q9H015,0.000126359,Q8N5C7,0.001472496,A0A0A0MS51,0.00000206,,,Q8IWZ3,0.000288014,P42126,0.796483593,P06733-2,0.000175657,Q9BV81,0.0000612,Q9BYJ9,0.0000601,O43414,0.0000362
Q6F5E8,0.242037321,Q96HR3,0.000510929,Q16719,0.000126544,Q8N5D0,0.0000159,Q7Z4R8,0.00000206,,,Q8IWZ8,0.000717597,Q8N3D4,0.796484511,Q13153,0.000175704,P62877,0.0000613,O00507,0.0000601,P07204,0.0000363
Q6FHJ7,2.10E-06,Q96HR8,0.000358587,A0A087WVW2,0.000126563,Q8N5G0,0.001838712,Q96HD9,0.00000207,,,Q8IX01,0.000626487,P41226,0.796542783,Q92539,0.000175733,P06753-3,0.0000613,Q8NHX9,0.0000601,O95989,0.0000364
Q6FI13,0.064507515,Q96HS1,0.001169482,O43660,0.000126691,Q8N5H7,0.000476783,Q5T0H9,0.00000207,,,Q8IX04,0.000107154,P68402,0.796554412,Q9Y3A2,0.000175735,Q6NUT3-2,0.0000615,Q13951,0.0000601,Q9H6R4,0.0000365
Q6FI81,0.249265082,Q96HW7,0.000217344,P23508-2,0.000127809,Q8N5K1,0.001465895,Q96AE4-2,0.00000208,,,Q8IX12,0.00460253,Q8TAQ2,0.796555611,P25786,0.000175758,P53597,0.0000615,O43567,0.0000601,Q14152,0.0000365
Q6GMR7,3.20E-05,Q96HY6,0.0033447,A0A075B6R6,0.000128218,Q8N5L8,0.000178977,Q9H9F9,0.00000208,,,Q8IX18,0.0000714,O75695,0.796606458,P09874,0.000175983,Q8N511,0.0000615,Q9H5V8,0.0000602,Q8IXM2-2,0.0000366
