gene	databases_count	databases_list
MANF	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
MASP1	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
MCAM	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
MET	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
MMP9	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
MPO	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
MTPN	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
NBL1	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
NCAM1	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
NCAM2	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
NID1	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
NRCAM	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
NRP1	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
NSFL1C	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
NUCB2	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
OGN	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
OMD	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
OSCAR	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
OXT	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
P4HB	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
PAM	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
PARK7	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
PCOLCE	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
PCSK9	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
PEBP1	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
PIGR	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
PIK3IP1	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
PKLR	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
PLA2G15	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
PLA2G1B	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
PLA2G7	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
PLIN3	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
PLTP	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
PLXNB2	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
PON3	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
PPIB	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
PRCP	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
PRDX5	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
PRDX6	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
PROC	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
PSMA1	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
PSME1	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
PSME2	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
PTGDS	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
PTPN6	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
PTPRF	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
PTPRM	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
PVR	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
RAD23B	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
RARRES2	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
REG1A	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
REG1B	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
REG3A	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
RETN	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
RNASET2	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
ROBO2	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
S100A11	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
S100A12	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
S100A4	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
SCG3	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
SCGB1A1	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
SDC1	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
SELP	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
SEMA7A	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
SERPINA11	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
SERPINB1	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
SERPINB9	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
SERPINE1	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
SIRPB1	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
SMPDL3A	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
SOD2	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
SPARC	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
SPARCL1	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
