"Gene","Concentration","Database","Category","CellType","Dataset","Source_ID","Gene_Dataset"
"TUBB8",27.6653478275,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","TUBB8_PXD040957"
"TUBE1",7393490.625,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","TUBE1_PXD004352"
"TUBGCP2",608835406.25,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","TUBGCP2_PXD004352"
"TUBGCP2",35295,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","TUBGCP2_PXD025174"
"TUBGCP2",27.0565785825,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","TUBGCP2_PXD040957"
"TUBGCP3",542376906.25,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","TUBGCP3_PXD004352"
"TUBGCP3",44073,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","TUBGCP3_PXD025174"
"TUBGCP3",25.1816515225,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","TUBGCP3_PXD040957"
"TUBGCP4",143777906.25,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","TUBGCP4_PXD004352"
"TUBGCP4",5803,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","TUBGCP4_PXD025174"
"TUBGCP4",23.60548479,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","TUBGCP4_PXD040957"
"TUBGCP5",70782559.375,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","TUBGCP5_PXD004352"
"TUBGCP6",289697796.875,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","TUBGCP6_PXD004352"
"TUBGCP6",23.566471185,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","TUBGCP6_PXD040957"
"TUFM",21554606250,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","TUFM_PXD004352"
"TUFM",1198779,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","TUFM_PXD025174"
"TUFM",32.971022295,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","TUFM_PXD040957"
"TUSC2",23713075,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","TUSC2_PXD004352"
"TUT1",124237900,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","TUT1_PXD004352"
"TUT1",25.4755768775,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","TUT1_PXD040957"
