"Gene","Database","Category","CellType","Concentration","Dataset"
"ADA","ProteomeXchange","CellType","CD8",2057855281.25,"PXD004352,PXD025174,PXD040957"
"ADAL","ProteomeXchange","CellType","CD8",35330684.375,"PXD004352"
"ADAM10","ProteomeXchange","CellType","CD8",916303750,"PXD004352,PXD025174,PXD040957"
"ADAM15","ProteomeXchange","CellType","CD8",2507518.4375,"PXD004352"
"ADAM17","ProteomeXchange","CellType","CD8",63871487.5,"PXD004352"
"ADAM19","ProteomeXchange","CellType","CD8",111161646.875,"PXD004352"
"ADAM28","ProteomeXchange","CellType","CD8",158146.875,"PXD004352"
"ADAM8","ProteomeXchange","CellType","CD8",65701525,"PXD004352,PXD025174"
"ADAM9","ProteomeXchange","CellType","CD8",11741625,"PXD004352"
"ADAMDEC1","ProteomeXchange","CellType","CD8",120063843.75,"PXD004352"
"ADAMTS1","ProteomeXchange","CellType","CD8",42419475,"PXD004352"
"ADAMTS13","ProteomeXchange","CellType","CD8",324750,"PXD004352"
"ADAMTS2","ProteomeXchange","CellType","CD8",139310028.125,"PXD004352"
"ADAMTSL4","ProteomeXchange","CellType","CD8",18679623.125,"PXD004352,PXD040957"
"ADAP1","ProteomeXchange","CellType","CD8",163400528.125,"PXD004352,PXD040957"
"ADAR","ProteomeXchange","CellType","CD8",9370112500,"PXD004352,PXD025174,PXD040957"
"ADARB1","ProteomeXchange","CellType","CD8",297632281.25,"PXD004352,PXD040957"
"ADAT1","ProteomeXchange","CellType","CD8",10797046.875,"PXD004352"
"ADAT2","ProteomeXchange","CellType","CD8",23624534.375,"PXD004352,PXD040957"
"ADAT3","ProteomeXchange","CellType","CD8",22.67041561,"PXD040957"
"ADCK1","ProteomeXchange","CellType","CD8",14167081.25,"PXD004352,PXD040957"
"ADCK3","ProteomeXchange","CellType","CD8",517129906.25,"PXD004352,PXD040957"
"ADCK4","ProteomeXchange","CellType","CD8",93267618.75,"PXD004352,PXD025174,PXD040957"
"ADCK5","ProteomeXchange","CellType","CD8",8659275,"PXD004352"
"ADCY6","ProteomeXchange","CellType","CD8",1877031.25,"PXD004352"
"ADCY7","ProteomeXchange","CellType","CD8",86761615.625,"PXD004352,PXD025174,PXD040957"
"ADD1","ProteomeXchange","CellType","CD8",4389930312.5,"PXD004352,PXD040957"
"ADD2","ProteomeXchange","CellType","CD8",126857758.125,"PXD004352,PXD040957"
"ADD3","ProteomeXchange","CellType","CD8",3586306562.5,"PXD004352,PXD025174,PXD040957"
"ADH4","ProteomeXchange","CellType","CD8",10085218.75,"PXD004352"
"ADH5","ProteomeXchange","CellType","CD8",5641364375,"PXD004352,PXD025174,PXD040957"
"ADI1","ProteomeXchange","CellType","CD8",229359193.75,"PXD004352,PXD025174"
"ADIPOQ","ProteomeXchange","CellType","CD8",4364637.5,"PXD004352"
"ADIRF","ProteomeXchange","CellType","CD8",858531.25,"PXD004352"
"ADK","ProteomeXchange","CellType","CD8",3226251875,"PXD004352,PXD025174,PXD040957"
"ADM2","ProteomeXchange","CellType","CD8",325412.5,"PXD004352"
"ADNP","ProteomeXchange","CellType","CD8",1286860312.5,"PXD004352,PXD025174,PXD040957"
"ADNP2","ProteomeXchange","CellType","CD8",51629534.375,"PXD004352"
"ADO","ProteomeXchange","CellType","CD8",156878562.5,"PXD004352,PXD025174,PXD040957"
"ADPGK","ProteomeXchange","CellType","CD8",1150995312.5,"PXD004352,PXD025174,PXD040957"
"ADPRH","ProteomeXchange","CellType","CD8",95446925,"PXD004352"
"ADPRHL2","ProteomeXchange","CellType","CD8",1277911968.75,"PXD004352,PXD025174,PXD040957"
"ADRB2","ProteomeXchange","CellType","CD8",5516134.375,"PXD004352"
"ADRBK1","ProteomeXchange","CellType","CD8",3332112187.5,"PXD004352,PXD025174,PXD040957"
"ADRBK2","ProteomeXchange","CellType","CD8",16935281.25,"PXD004352"
"ADRM1","ProteomeXchange","CellType","CD8",496366875,"PXD004352,PXD040957"
"ADSL","ProteomeXchange","CellType","CD8",2883441500,"PXD004352,PXD025174,PXD040957"
"ADSS","ProteomeXchange","CellType","CD8",2207404625,"PXD004352,PXD025174,PXD040957"
"AEBP2","ProteomeXchange","CellType","CD8",24156961.875,"PXD004352"
"AES","ProteomeXchange","CellType","CD8",167898312.5,"PXD004352,PXD025174,PXD040957"
"AFAP1","ProteomeXchange","CellType","CD8",30549278.125,"PXD004352,PXD040957"
"AFAP1L2","ProteomeXchange","CellType","CD8",72707045.9375,"PXD004352"
"AFF1","ProteomeXchange","CellType","CD8",44693309.375,"PXD004352"
"AFF3","ProteomeXchange","CellType","CD8",45771371.875,"PXD004352"
"AFF4","ProteomeXchange","CellType","CD8",70152355.9375,"PXD004352,PXD040957"
"AFG3L2","ProteomeXchange","CellType","CD8",2554169375,"PXD004352,PXD025174,PXD040957"
"AFM","ProteomeXchange","CellType","CD8",71346715.625,"PXD004352,PXD040957"
"AFMID","ProteomeXchange","CellType","CD8",1859028.125,"PXD004352"
"AFTPH","ProteomeXchange","CellType","CD8",225065656.25,"PXD004352,PXD040957"
"AGA","ProteomeXchange","CellType","CD8",27375415.625,"PXD004352,PXD025174"
"AGAP2","ProteomeXchange","CellType","CD8",780012250,"PXD004352,PXD040957"
"AGAP3","ProteomeXchange","CellType","CD8",15858625,"PXD004352"
"AGFG1","ProteomeXchange","CellType","CD8",727237093.75,"PXD004352,PXD040957"
"AGFG2","ProteomeXchange","CellType","CD8",277737031.25,"PXD004352,PXD040957"
"AGGF1","ProteomeXchange","CellType","CD8",5958400,"PXD004352"
"AGK","ProteomeXchange","CellType","CD8",4089633125,"PXD004352,PXD040957"
"AGL","ProteomeXchange","CellType","CD8",2687041875,"PXD004352,PXD025174,PXD040957"
"AGMAT","ProteomeXchange","CellType","CD8",233149415.625,"PXD004352,PXD040957"
"AGO1","ProteomeXchange","CellType","CD8",1561811875,"PXD004352,PXD025174,PXD040957"
"AGO2","ProteomeXchange","CellType","CD8",763876750,"PXD004352,PXD040957"
"AGO3","ProteomeXchange","CellType","CD8",209055906.25,"PXD004352,PXD040957"
"AGO4","ProteomeXchange","CellType","CD8",57922450,"PXD004352"
"AGPAT1","ProteomeXchange","CellType","CD8",175157875,"PXD004352,PXD025174,PXD040957"
"AGPAT2","ProteomeXchange","CellType","CD8",11176638.75,"PXD004352"
"AGPAT3","ProteomeXchange","CellType","CD8",281025687.5,"PXD004352,PXD025174,PXD040957"
"AGPAT4","ProteomeXchange","CellType","CD8",16672268.75,"PXD004352"
"AGPAT5","ProteomeXchange","CellType","CD8",401770937.5,"PXD004352,PXD025174,PXD040957"
"AGPAT6","ProteomeXchange","CellType","CD8",33405853.125,"PXD004352"
"AGPAT9","ProteomeXchange","CellType","CD8",27401443.75,"PXD004352"
"AGPS","ProteomeXchange","CellType","CD8",1293365000,"PXD004352,PXD025174,PXD040957"
"AGRN","ProteomeXchange","CellType","CD8",1979534.375,"PXD004352"
"AGT","ProteomeXchange","CellType","CD8",116518325,"PXD004352,PXD040957"
"AGTPBP1","ProteomeXchange","CellType","CD8",145018156.25,"PXD004352,PXD040957"
"AGTRAP","ProteomeXchange","CellType","CD8",29236356.25,"PXD004352,PXD025174"
"AHCTF1","ProteomeXchange","CellType","CD8",1912315000,"PXD004352,PXD025174,PXD040957"
"AHCY","ProteomeXchange","CellType","CD8",9216654062.5,"PXD004352,PXD025174,PXD040957"
"AHCYL1","ProteomeXchange","CellType","CD8",1579970000,"PXD004352,PXD025174,PXD040957"
"AHCYL2","ProteomeXchange","CellType","CD8",92726375,"PXD004352,PXD040957"
"AHDC1","ProteomeXchange","CellType","CD8",12456515.625,"PXD004352,PXD040957"
"AHNAK","ProteomeXchange","CellType","CD8",104889887500,"PXD004352,PXD025174,PXD040957"
"AHR","ProteomeXchange","CellType","CD8",14432618.75,"PXD004352,PXD025174"
"AHSA1","ProteomeXchange","CellType","CD8",3440774062.5,"PXD004352,PXD025174,PXD040957"
"AHSG","ProteomeXchange","CellType","CD8",3692724375,"PXD004352,PXD025174,PXD040957"
"AICDA","ProteomeXchange","CellType","CD8",711300,"PXD004352"
"AIDA","ProteomeXchange","CellType","CD8",318796553.125,"PXD004352,PXD025174,PXD040957"
"AIF1","ProteomeXchange","CellType","CD8",7973708.75,"PXD004352"
"AIFM1","ProteomeXchange","CellType","CD8",6014144687.5,"PXD004352,PXD025174,PXD040957"
"AIFM2","ProteomeXchange","CellType","CD8",12885425,"PXD004352"
"AIG1","ProteomeXchange","CellType","CD8",7802487.5,"PXD004352"
"AIM1","ProteomeXchange","CellType","CD8",1303180406.25,"PXD004352,PXD025174,PXD040957"
"AIM2","ProteomeXchange","CellType","CD8",21422217.5,"PXD004352"
"AIMP1","ProteomeXchange","CellType","CD8",3008668437.5,"PXD004352,PXD025174,PXD040957"
"AIMP2","ProteomeXchange","CellType","CD8",1618662187.5,"PXD004352,PXD040957"
"AIP","ProteomeXchange","CellType","CD8",4436572187.5,"PXD004352,PXD025174,PXD040957"
"AK1","ProteomeXchange","CellType","CD8",2393471.875,"PXD004352"
"AK2","ProteomeXchange","CellType","CD8",10721428437.5,"PXD004352,PXD025174,PXD040957"
"AK3","ProteomeXchange","CellType","CD8",2305131875,"PXD004352,PXD025174,PXD040957"
"AK4","ProteomeXchange","CellType","CD8",521594569.375,"PXD004352,PXD025174"
"AK5","ProteomeXchange","CellType","CD8",29297600,"PXD004352,PXD040957"
"AKAP1","ProteomeXchange","CellType","CD8",259238812.5,"PXD004352,PXD040957"
"AKAP10","ProteomeXchange","CellType","CD8",62422181.25,"PXD004352"
"AKAP11","ProteomeXchange","CellType","CD8",368037562.5,"PXD004352,PXD025174,PXD040957"
"AKAP12","ProteomeXchange","CellType","CD8",120130490.625,"PXD004352"
"AKAP13","ProteomeXchange","CellType","CD8",1743348843.75,"PXD004352,PXD025174,PXD040957"
"AKAP17A","ProteomeXchange","CellType","CD8",451159656.25,"PXD004352,PXD040957"
"AKAP2","ProteomeXchange","CellType","CD8",226029831.25,"PXD004352"
"AKAP5","ProteomeXchange","CellType","CD8",2388105,"PXD004352"
"AKAP7","ProteomeXchange","CellType","CD8",64434187.5,"PXD004352,PXD040957"
"AKAP8","ProteomeXchange","CellType","CD8",706520781.25,"PXD004352,PXD040957"
"AKAP8L","ProteomeXchange","CellType","CD8",323169562.5,"PXD004352,PXD025174,PXD040957"
"AKAP9","ProteomeXchange","CellType","CD8",838561250,"PXD004352,PXD040957"
